dispatching_base_number,date,active_vehicles,trips,pickup_datetime,year,month,day,hour,weekday,is_weekend
B02512,2015-01-01,190,1132,2015-01-01,2015,1,1,0,Thursday,False
B02765,2015-01-01,225,1765,2015-01-01,2015,1,1,0,Thursday,False
B02764,2015-01-01,3427,29421,2015-01-01,2015,1,1,0,Thursday,False
B02682,2015-01-01,945,7679,2015-01-01,2015,1,1,0,Thursday,False
B02617,2015-01-01,1228,9537,2015-01-01,2015,1,1,0,Thursday,False
B02598,2015-01-01,870,6903,2015-01-01,2015,1,1,0,Thursday,False
B02598,2015-01-02,785,4768,2015-01-02,2015,1,2,0,Friday,False
B02617,2015-01-02,1137,7065,2015-01-02,2015,1,2,0,Friday,False
B02512,2015-01-02,175,875,2015-01-02,2015,1,2,0,Friday,False
B02682,2015-01-02,890,5506,2015-01-02,2015,1,2,0,Friday,False
B02765,2015-01-02,196,1001,2015-01-02,2015,1,2,0,Friday,False
B02764,2015-01-02,3147,19974,2015-01-02,2015,1,2,0,Friday,False
B02765,2015-01-03,201,1526,2015-01-03,2015,1,3,0,Saturday,True
B02617,2015-01-03,1188,10664,2015-01-03,2015,1,3,0,Saturday,True
B02598,2015-01-03,818,7432,2015-01-03,2015,1,3,0,Saturday,True
B02682,2015-01-03,915,8010,2015-01-03,2015,1,3,0,Saturday,True
B02512,2015-01-03,173,1088,2015-01-03,2015,1,3,0,Saturday,True
B02764,2015-01-03,3215,29729,2015-01-03,2015,1,3,0,Saturday,True
B02512,2015-01-04,147,791,2015-01-04,2015,1,4,0,Sunday,True
B02682,2015-01-04,812,5621,2015-01-04,2015,1,4,0,Sunday,True
B02598,2015-01-04,746,5223,2015-01-04,2015,1,4,0,Sunday,True
B02765,2015-01-04,183,993,2015-01-04,2015,1,4,0,Sunday,True
B02617,2015-01-04,1088,7729,2015-01-04,2015,1,4,0,Sunday,True
B02764,2015-01-04,2862,20441,2015-01-04,2015,1,4,0,Sunday,True
B02512,2015-01-05,194,984,2015-01-05,2015,1,5,0,Monday,False
B02682,2015-01-05,951,6012,2015-01-05,2015,1,5,0,Monday,False
B02617,2015-01-05,1218,7899,2015-01-05,2015,1,5,0,Monday,False
B02764,2015-01-05,3387,20926,2015-01-05,2015,1,5,0,Monday,False
B02598,2015-01-05,907,5798,2015-01-05,2015,1,5,0,Monday,False
B02765,2015-01-05,227,1133,2015-01-05,2015,1,5,0,Monday,False
B02764,2015-01-06,3473,25301,2015-01-06,2015,1,6,0,Tuesday,False
B02682,2015-01-06,1022,7491,2015-01-06,2015,1,6,0,Tuesday,False
B02617,2015-01-06,1336,10128,2015-01-06,2015,1,6,0,Tuesday,False
B02765,2015-01-06,234,1376,2015-01-06,2015,1,6,0,Tuesday,False
B02512,2015-01-06,218,1314,2015-01-06,2015,1,6,0,Tuesday,False
B02598,2015-01-06,933,6816,2015-01-06,2015,1,6,0,Tuesday,False
B02617,2015-01-07,1363,11528,2015-01-07,2015,1,7,0,Wednesday,False
B02682,2015-01-07,1039,9078,2015-01-07,2015,1,7,0,Wednesday,False
B02764,2015-01-07,3603,29949,2015-01-07,2015,1,7,0,Wednesday,False
B02765,2015-01-07,248,1704,2015-01-07,2015,1,7,0,Wednesday,False
B02512,2015-01-07,217,1446,2015-01-07,2015,1,7,0,Wednesday,False
B02598,2015-01-07,974,8397,2015-01-07,2015,1,7,0,Wednesday,False
B02765,2015-01-08,262,1911,2015-01-08,2015,1,8,0,Thursday,False
B02598,2015-01-08,1070,10050,2015-01-08,2015,1,8,0,Thursday,False
B02512,2015-01-08,238,1772,2015-01-08,2015,1,8,0,Thursday,False
B02682,2015-01-08,1135,10416,2015-01-08,2015,1,8,0,Thursday,False
B02764,2015-01-08,3831,33802,2015-01-08,2015,1,8,0,Thursday,False
B02617,2015-01-08,1463,13462,2015-01-08,2015,1,8,0,Thursday,False
B02617,2015-01-09,1455,13165,2015-01-09,2015,1,9,0,Friday,False
B02512,2015-01-09,224,1560,2015-01-09,2015,1,9,0,Friday,False
B02764,2015-01-09,3820,33517,2015-01-09,2015,1,9,0,Friday,False
B02682,2015-01-09,1140,10477,2015-01-09,2015,1,9,0,Friday,False
B02598,2015-01-09,1070,9538,2015-01-09,2015,1,9,0,Friday,False
B02765,2015-01-09,280,2039,2015-01-09,2015,1,9,0,Friday,False
B02682,2015-01-10,1057,11629,2015-01-10,2015,1,10,0,Saturday,True
B02617,2015-01-10,1331,13856,2015-01-10,2015,1,10,0,Saturday,True
B02598,2015-01-10,949,10287,2015-01-10,2015,1,10,0,Saturday,True
B02512,2015-01-10,206,1646,2015-01-10,2015,1,10,0,Saturday,True
B02764,2015-01-10,3558,38864,2015-01-10,2015,1,10,0,Saturday,True
B02765,2015-01-10,245,2202,2015-01-10,2015,1,10,0,Saturday,True
B02765,2015-01-11,220,1672,2015-01-11,2015,1,11,0,Sunday,True
B02598,2015-01-11,832,7176,2015-01-11,2015,1,11,0,Sunday,True
B02682,2015-01-11,943,8461,2015-01-11,2015,1,11,0,Sunday,True
B02764,2015-01-11,3186,27681,2015-01-11,2015,1,11,0,Sunday,True
B02617,2015-01-11,1228,10932,2015-01-11,2015,1,11,0,Sunday,True
B02512,2015-01-11,162,1104,2015-01-11,2015,1,11,0,Sunday,True
B02764,2015-01-12,3499,26852,2015-01-12,2015,1,12,0,Monday,False
B02765,2015-01-12,279,1711,2015-01-12,2015,1,12,0,Monday,False
B02512,2015-01-12,217,1399,2015-01-12,2015,1,12,0,Monday,False
B02598,2015-01-12,964,7915,2015-01-12,2015,1,12,0,Monday,False
B02682,2015-01-12,1082,9107,2015-01-12,2015,1,12,0,Monday,False
B02617,2015-01-12,1323,10662,2015-01-12,2015,1,12,0,Monday,False
B02765,2015-01-13,258,1697,2015-01-13,2015,1,13,0,Tuesday,False
B02598,2015-01-13,975,8713,2015-01-13,2015,1,13,0,Tuesday,False
B02617,2015-01-13,1342,11825,2015-01-13,2015,1,13,0,Tuesday,False
B02512,2015-01-13,234,1652,2015-01-13,2015,1,13,0,Tuesday,False
B02764,2015-01-13,3658,29983,2015-01-13,2015,1,13,0,Tuesday,False
B02682,2015-01-13,1092,9629,2015-01-13,2015,1,13,0,Tuesday,False
B02764,2015-01-14,3736,29550,2015-01-14,2015,1,14,0,Wednesday,False
B02765,2015-01-14,271,1600,2015-01-14,2015,1,14,0,Wednesday,False
B02598,2015-01-14,1030,8870,2015-01-14,2015,1,14,0,Wednesday,False
B02512,2015-01-14,233,1582,2015-01-14,2015,1,14,0,Wednesday,False
B02617,2015-01-14,1405,11965,2015-01-14,2015,1,14,0,Wednesday,False
B02682,2015-01-14,1174,9762,2015-01-14,2015,1,14,0,Wednesday,False
B02512,2015-01-15,237,1636,2015-01-15,2015,1,15,0,Thursday,False
B02682,2015-01-15,1208,10391,2015-01-15,2015,1,15,0,Thursday,False
B02617,2015-01-15,1457,12539,2015-01-15,2015,1,15,0,Thursday,False
B02765,2015-01-15,270,1797,2015-01-15,2015,1,15,0,Thursday,False
B02764,2015-01-15,3840,31214,2015-01-15,2015,1,15,0,Thursday,False
B02598,2015-01-15,1068,9152,2015-01-15,2015,1,15,0,Thursday,False
B02617,2015-01-16,1445,12977,2015-01-16,2015,1,16,0,Friday,False
B02765,2015-01-16,290,2082,2015-01-16,2015,1,16,0,Friday,False
B02764,2015-01-16,3975,34822,2015-01-16,2015,1,16,0,Friday,False
B02682,2015-01-16,1250,11280,2015-01-16,2015,1,16,0,Friday,False
B02512,2015-01-16,234,1481,2015-01-16,2015,1,16,0,Friday,False
B02598,2015-01-16,1079,9838,2015-01-16,2015,1,16,0,Friday,False
B02598,2015-01-17,974,9546,2015-01-17,2015,1,17,0,Saturday,True
B02512,2015-01-17,201,1281,2015-01-17,2015,1,17,0,Saturday,True
B02682,2015-01-17,1137,11382,2015-01-17,2015,1,17,0,Saturday,True
B02765,2015-01-17,252,2160,2015-01-17,2015,1,17,0,Saturday,True
B02617,2015-01-17,1306,12676,2015-01-17,2015,1,17,0,Saturday,True
B02764,2015-01-17,3657,36318,2015-01-17,2015,1,17,0,Saturday,True
B02512,2015-01-18,177,1521,2015-01-18,2015,1,18,0,Sunday,True
B02598,2015-01-18,869,9443,2015-01-18,2015,1,18,0,Sunday,True
B02765,2015-01-18,248,2287,2015-01-18,2015,1,18,0,Sunday,True
B02764,2015-01-18,3290,35182,2015-01-18,2015,1,18,0,Sunday,True
B02682,2015-01-18,1056,11161,2015-01-18,2015,1,18,0,Sunday,True
B02617,2015-01-18,1223,12879,2015-01-18,2015,1,18,0,Sunday,True
B02682,2015-01-19,883,7028,2015-01-19,2015,1,19,0,Monday,False
B02617,2015-01-19,992,7775,2015-01-19,2015,1,19,0,Monday,False
B02765,2015-01-19,238,1568,2015-01-19,2015,1,19,0,Monday,False
B02764,2015-01-19,2958,22750,2015-01-19,2015,1,19,0,Monday,False
B02512,2015-01-19,168,1025,2015-01-19,2015,1,19,0,Monday,False
B02598,2015-01-19,706,5609,2015-01-19,2015,1,19,0,Monday,False
B02598,2015-01-20,944,7206,2015-01-20,2015,1,20,0,Tuesday,False
B02682,2015-01-20,1151,8496,2015-01-20,2015,1,20,0,Tuesday,False
B02512,2015-01-20,221,1310,2015-01-20,2015,1,20,0,Tuesday,False
B02764,2015-01-20,3654,26137,2015-01-20,2015,1,20,0,Tuesday,False
B02765,2015-01-20,272,1608,2015-01-20,2015,1,20,0,Tuesday,False
B02617,2015-01-20,1350,10015,2015-01-20,2015,1,20,0,Tuesday,False
B02764,2015-01-21,3718,27344,2015-01-21,2015,1,21,0,Wednesday,False
B02512,2015-01-21,242,1519,2015-01-21,2015,1,21,0,Wednesday,False
B02682,2015-01-21,1228,9472,2015-01-21,2015,1,21,0,Wednesday,False
B02598,2015-01-21,1035,8041,2015-01-21,2015,1,21,0,Wednesday,False
B02765,2015-01-21,296,1774,2015-01-21,2015,1,21,0,Wednesday,False
B02617,2015-01-21,1429,10997,2015-01-21,2015,1,21,0,Wednesday,False
B02617,2015-01-22,1471,12143,2015-01-22,2015,1,22,0,Thursday,False
B02764,2015-01-22,3889,30091,2015-01-22,2015,1,22,0,Thursday,False
B02512,2015-01-22,246,1551,2015-01-22,2015,1,22,0,Thursday,False
B02598,2015-01-22,1071,9080,2015-01-22,2015,1,22,0,Thursday,False
B02682,2015-01-22,1295,10699,2015-01-22,2015,1,22,0,Thursday,False
B02765,2015-01-22,295,2038,2015-01-22,2015,1,22,0,Thursday,False
B02598,2015-01-23,1093,9343,2015-01-23,2015,1,23,0,Friday,False
B02512,2015-01-23,246,1670,2015-01-23,2015,1,23,0,Friday,False
B02765,2015-01-23,299,2162,2015-01-23,2015,1,23,0,Friday,False
B02764,2015-01-23,4040,33756,2015-01-23,2015,1,23,0,Friday,False
B02617,2015-01-23,1482,13121,2015-01-23,2015,1,23,0,Friday,False
B02682,2015-01-23,1330,11767,2015-01-23,2015,1,23,0,Friday,False
B02598,2015-01-24,945,10040,2015-01-24,2015,1,24,0,Saturday,True
B02764,2015-01-24,3652,39187,2015-01-24,2015,1,24,0,Saturday,True
B02512,2015-01-24,211,1608,2015-01-24,2015,1,24,0,Saturday,True
B02617,2015-01-24,1367,14143,2015-01-24,2015,1,24,0,Saturday,True
B02682,2015-01-24,1223,13355,2015-01-24,2015,1,24,0,Saturday,True
B02765,2015-01-24,245,2376,2015-01-24,2015,1,24,0,Saturday,True
B02512,2015-01-25,183,1190,2015-01-25,2015,1,25,0,Sunday,True
B02764,2015-01-25,3300,28066,2015-01-25,2015,1,25,0,Sunday,True
B02765,2015-01-25,226,1755,2015-01-25,2015,1,25,0,Sunday,True
B02598,2015-01-25,829,7219,2015-01-25,2015,1,25,0,Sunday,True
B02682,2015-01-25,1046,9303,2015-01-25,2015,1,25,0,Sunday,True
B02617,2015-01-25,1203,10362,2015-01-25,2015,1,25,0,Sunday,True
B02617,2015-01-26,1150,7608,2015-01-26,2015,1,26,0,Monday,False
B02598,2015-01-26,860,5919,2015-01-26,2015,1,26,0,Monday,False
B02765,2015-01-26,230,1363,2015-01-26,2015,1,26,0,Monday,False
B02764,2015-01-26,3012,19940,2015-01-26,2015,1,26,0,Monday,False
B02682,2015-01-26,1084,7565,2015-01-26,2015,1,26,0,Monday,False
B02512,2015-01-26,197,1000,2015-01-26,2015,1,26,0,Monday,False
B02682,2015-01-27,600,4414,2015-01-27,2015,1,27,0,Tuesday,False
B02765,2015-01-27,135,921,2015-01-27,2015,1,27,0,Tuesday,False
B02617,2015-01-27,596,4325,2015-01-27,2015,1,27,0,Tuesday,False
B02598,2015-01-27,434,2957,2015-01-27,2015,1,27,0,Tuesday,False
B02512,2015-01-27,112,629,2015-01-27,2015,1,27,0,Tuesday,False
B02764,2015-01-27,1619,11998,2015-01-27,2015,1,27,0,Tuesday,False
B02764,2015-01-28,3692,28137,2015-01-28,2015,1,28,0,Wednesday,False
B02682,2015-01-28,1235,10025,2015-01-28,2015,1,28,0,Wednesday,False
B02765,2015-01-28,286,1913,2015-01-28,2015,1,28,0,Wednesday,False
B02617,2015-01-28,1356,10862,2015-01-28,2015,1,28,0,Wednesday,False
B02598,2015-01-28,1011,8071,2015-01-28,2015,1,28,0,Wednesday,False
B02512,2015-01-28,235,1438,2015-01-28,2015,1,28,0,Wednesday,False
B02617,2015-01-29,1474,12600,2015-01-29,2015,1,29,0,Thursday,False
B02764,2015-01-29,3959,31637,2015-01-29,2015,1,29,0,Thursday,False
B02682,2015-01-29,1316,11485,2015-01-29,2015,1,29,0,Thursday,False
B02765,2015-01-29,295,2086,2015-01-29,2015,1,29,0,Thursday,False
B02512,2015-01-29,250,1687,2015-01-29,2015,1,29,0,Thursday,False
B02598,2015-01-29,1082,9499,2015-01-29,2015,1,29,0,Thursday,False
B02512,2015-01-30,256,2016,2015-01-30,2015,1,30,0,Friday,False
B02617,2015-01-30,1501,14793,2015-01-30,2015,1,30,0,Friday,False
